name,iata_code,iso_country,iso_region,municipality,type,scheduled_service,latitude_deg,longitude_deg
Trang Airport,TST,TH,TH-92,Trang,medium_airport,yes,7.50874,99.6166
Udon Thani International Airport,UTH,TH,TH-41,Udon Thani,large_airport,yes,17.386186,102.788577
Sakon Nakhon Airport,SNO,TH,TH-47,,medium_airport,yes,17.195100784301758,104.11900329589844
Surin Airport,PXR,TH,TH-32,Surin,medium_airport,yes,14.868300437927,103.49800109863
Khon Kaen Airport,KKC,TH,TH-40,Khon Kaen,medium_airport,yes,16.466600418099997,102.783996582
Loei Airport,LOE,TH,TH-42,,medium_airport,yes,17.43910026550293,101.72200012207033
Buri Ram Airport,BFV,TH,TH-31,Buriram,medium_airport,yes,15.2295,103.252998
Nakhon Ratchasima Airport,NAK,TH,TH-30,Chaloem Phra Kiat,medium_airport,no,14.9495,102.313004
Ubon Ratchathani Airport,UBP,TH,TH-34,Ubon Ratchathani,medium_airport,yes,15.2512998581,104.870002747
Roi Et Airport,ROI,TH,TH-45,Roi Et,medium_airport,yes,16.1168,103.774002
Nakhon Phanom Airport,KOP,TH,TH-48,Nakhon Phanom,medium_airport,yes,17.383801,104.642998
Mvuu Camp Airport,VUU,MW,MW-MH,Liwonde National Park,small_airport,no,-14.838611,35.301389
Buon Ma Thuot Airport,BMV,VN,VN-CH,Buon Ma Thuot,medium_airport,yes,12.668299675,108.120002747
Chu Lai Airport,VCL,VN,VN-SCC,Tam Nghĩa,small_airport,yes,15.4033,108.706001
Cat Bi International Airport,HPH,VN,VN-RRD,Haiphong (Hai An),large_airport,yes,20.817428,106.724315
Cà Mau Airport,CAH,VN,VN-SW,Ca Mau City,medium_airport,yes,9.177667,105.177778
Cam Ranh International Airport / Cam Ranh Air Base,CXR,VN,VN-SCC,Nha Trang/nha Trang aiurportCam Ranh,large_airport,yes,11.9982,109.219002
Con Dao Airport,VCS,VN,VN-SE,Con Dao,medium_airport,yes,8.73183,106.633003
Can Tho International Airport,VCA,VN,VN-SW,Can Tho,large_airport,yes,10.083397,105.709371
Dien Bien Phu Airport,DIN,VN,VN-NW,Dien Bien Phu,medium_airport,yes,21.3974990845,103.008003235
Dong Hoi Airport,VDH,VN,VN-NC,Dong Hoi,medium_airport,yes,17.515,106.590556
Lien Khuong Airport,DLI,VN,VN-CH,Da Lat,medium_airport,yes,11.750556,108.366997
Da Nang International Airport,DAD,VN,VN-SCC,Da Nang,large_airport,yes,16.0439,108.198997
Las Malvinas/Echarate Airport,VVN,PE,PE-CUS,Las Malvinas,small_airport,no,-11.854861,-72.939332
Noi Bai International Airport,HAN,VN,VN-RRD,Hanoi (Soc Son),large_airport,yes,21.221201,105.806999
Na San Airport,SQH,VN,VN-NW,Mai Son,small_airport,no,21.215301,104.032803
Phu Bai International Airport,HUI,VN,VN-NC,Huế,medium_airport,yes,16.400628,107.703094
Phu Cat Airport,UIH,VN,VN-SCC,Quy Nohn,medium_airport,yes,13.955,109.042
Pleiku Airport,PXU,VN,VN-CH,Pleiku,medium_airport,yes,14.00450038909912,108.01699829101562
Phú Quốc International Airport,PQC,VN,VN-SW,Phu Quoc Island,large_airport,yes,10.169783,103.99353
Phan Rang Airport,PHA,VN,VN-SCC,Phan Rang,small_airport,no,11.6335,108.952003
Rach Gia Airport,VKG,VN,VN-SW,Rach Gia,medium_airport,yes,9.95802997234,105.132379532
Dong Tac Airport,TBB,VN,VN-SCC,Tuy Hoa,medium_airport,yes,13.0496,109.334
Tan Son Nhat International Airport,SGN,VN,VN-SE,Ho Chi Minh City,large_airport,yes,10.8188,106.652
Tho Xuan Airport,THD,VN,VN-NC,Thanh Hóa,small_airport,yes,19.901667,105.467778
Van Don International Airport,VDO,VN,VN-NE,Van Don,medium_airport,yes,21.120693,107.41539
Vinh Airport,VII,VN,VN-NC,Vinh,medium_airport,yes,18.7376003265,105.67099762
Vung Tau Airport,VTG,VN,VN-SE,Vũng Tàu,small_airport,no,10.375093,107.096185
Ann Airport,VBA,MM,MM-16,Aeng,small_airport,no,19.769199,94.0261
Bagan Airport,NYU,MM,MM-04,Nyaung U,small_airport,yes,21.178800582885746,94.9301986694336
Banmaw Airport,BMO,MM,MM-11,Banmaw,small_airport,yes,24.27044,97.2476
Bokpyinn Airport,VBP,MM,MM-05,Bokpyinn,small_airport,no,11.1494,98.735901
Chanmyathazi Airport,VBC,MM,MM-04,Mandalay,small_airport,no,21.9405,96.0896
Dawei Airport,TVY,MM,MM-05,Dawei,medium_airport,yes,14.103899955749512,98.20359802246094
Surbung Airport,SRU,MM,MM-14,Falam,small_airport,no,22.939167,93.615333
Gangaw Airport,GAW,MM,MM-03,Gangaw,small_airport,no,22.174699783325195,94.1343994140625
Gwa Airport,GWA,MM,MM-16,Gwa,small_airport,no,17.600000381469727,94.5832977294922
Heho Airport,HEH,MM,MM-17,Kalaw Township,small_airport,yes,20.74714,96.792029
Hommalinn Airport,HOX,MM,MM-01,Hommalinn,small_airport,no,24.899599,94.914001
Tilin Airport,TIO,MM,MM-03,Tilin,small_airport,no,21.700000762939453,94.0999984741211
